,A,P,O,moldelta_A,U,moldelta_U,Age,phosphate_m,U_m,d235U,CO2_PAL,CO2atm
353,3.1615947407315333e+18,2509582605074846.5,3.7e+19,2.3840813724582625e+18,14487511779576.297,-4690194399166.759,-295987012.71564484,1.7964084503041133,0.01037044508201596,-0.32374050634276197,0.9804254221374378,274.51911819848254
354,3.116898185392766e+18,2466533787978175.0,3.7e+19,1.7122771083481285e+18,14258779137741.377,-4602019306344.791,-295941838.6691743,1.7655932626901754,0.010206713770752596,-0.3227498835551612,0.9529001496780234,266.8120419098465
355,3.1103423372786104e+18,2459826641448554.5,3.7e+19,1.6037384475749952e+18,14221916470594.424,-4587937156474.872,-295934892.41510284,1.7607921556539403,0.010180326750604455,-0.32259626654122187,0.948895848945697,265.6908377047951
356,3.1039276734946586e+18,2453145792939062.0,3.7e+19,1.4940241591177608e+18,14184690775246.93,-4573746357401.433,-295927946.16103137,1.7560098732563079,0.01015367986775013,-0.3224424437494875,0.9449859441673238,264.5960643668506
357,3.0976542461398953e+18,2446501569244477.0,3.7e+19,1.3831742310752796e+18,14147124282887.643,-4559457493069.236,-295920999.9069599,1.7512538076195254,0.010126789035710553,-0.32228864339478197,0.9411699340181414,263.52758152507954
358,3.085510193371552e+18,2433374478205411.5,3.7e+19,1.1583668135807148e+18,14071093496782.934,-4530634129706.365,-295907107.39881694,1.7418571783861214,0.010072364707790217,-0.32198166622531516,0.9338048686598779,261.4653632247658
359,3.073876073234489e+18,2420501448651915.5,3.7e+19,9.297413290003633e+17,13993983319897.285,-4501526556225.694,-295893214.890674,1.732642411347112,0.010017167730778301,-0.3216758554960701,0.9267761987572329,259.4973356520252
360,3.062714638325726e+18,2407926527374580.5,3.7e+19,6.977558681075064e+17,13915952938619.32,-4472194229429.078,-295879322.38253105,1.7236410360591128,0.009961312053413973,-0.3213717557938788,0.9200580540813357,257.6162551427739
361,3.03837961977975e+18,2379909201716644.5,3.7e+19,1.4691510476291955e+17,13731434968959.943,-4403303007088.219,-295846980.12952405,1.7035856848365387,0.009829230471696452,-0.320673186527259,0.9054953649384079,253.5387021827542
362,3.0215715303706573e+18,2360324220951214.0,3.7e+19,-2.698808294677805e+17,13592441378049.068,-4351832586489.238,-295822930.930442,1.6895663714754574,0.009729736133177572,-0.3201656321665048,0.895504809460414,250.7413466489159
