,Temperature,ccdeg,oxidw,locb,mocb,silw,carbw,mccb,delta_ocn,phosw,mopb,fepb,capb,ANOX,UPLIFT,PG,DEGASS,VEG,EVO,Age
371,283.21787691239234,9980609339569.201,6237880837230.75,1856716243757.244,1188618688979.1555,4211326849859.4663,3099931706960.7676,7311258556820.234,-2.0834511420400075,20474116407.369083,4753103212.491627,6909892528.77003,9508949511.833239,0.00038463230126214266,1.0,1.0,1.0,0.6823426558632689,1.0,-295484549.5973731
372,283.08428020799903,9980609339569.201,6237880837230.75,1810060898814.9316,1139886379641.9224,4055045864077.4463,2971577222576.0303,7026623086653.477,-2.5391391196590263,19714328528.33845,4558338193.22585,6766974140.786358,9119091037.13538,0.0003530542936564508,1.0,1.0,1.0,0.665196830761996,1.0,-295422500.47576153
373,282.96561926172814,9980609339569.201,6237880837230.75,1768873132765.6047,1092821301106.9304,3919613532673.87,2859973149537.733,6779586682211.604,-3.016248311547951,19055900100.11737,4370221510.695369,6625989417.442138,8742570408.855442,0.0003244488161896287,1.0,1.0,1.0,0.6500603392438837,1.0,-295360451.35414994
374,282.87592346230264,9980609339569.201,6237880837230.75,1737877926886.3052,1052000495497.6432,3819278375305.4326,2777082859071.152,6596361234376.584,-3.497323826147213,18568102841.687607,4207051791.7984195,6501211411.521709,8416003963.981146,0.00030107406356409504,1.0,1.0,1.0,0.638669610493694,1.0,-295298402.23253834
375,282.81505287771427,9980609339569.201,6237880837230.75,1716882279078.7935,1020411528240.8613,3752117977391.3955,2721511070633.4414,6473629048024.837,-3.963715720174699,18241590591.776844,4080777141.1765537,6402970070.87757,8163292225.92689,0.0002838631809625437,1.0,1.0,1.0,0.6309537162989208,1.0,-295236353.11092675
376,282.77592570863465,9980609339569.201,6237880837230.75,1703367928373.989,998207714589.5803,3709274326272.616,2686032021964.3354,6395306348236.951,-4.401510184380193,18033298542.35972,3992015695.6365204,6332997512.172347,7985661716.716641,0.00027220878309753725,1.0,1.0,1.0,0.6259871965179965,1.0,-295174303.98931515
377,282.7537478472903,9980609339569.201,6237880837230.75,1695650590040.0718,983828402628.3549,3685005716214.9556,2665936144321.7173,6350941860536.673,-4.800369967348377,17915312367.19923,3934531904.4005117,6287264491.22303,7870627221.026841,0.00026485178066257547,1.0,1.0,1.0,0.6231510770233426,1.0,-295112254.86770356
378,282.7534754885659,9980609339569.201,6237880837230.75,1695358017475.858,975274096917.6909,3684329858380.765,2665416033458.91,6349745891839.676,-5.213376986728806,17912026563.825287,3900334079.4257483,6259898163.356557,7802192775.341525,0.0002605449577112217,1.0,1.0,1.0,0.6230435566948219,1.0,-295037389.1389835
379,282.77792008322143,9980609339569.201,6237880837230.75,1703481141050.5024,976053659704.2065,3710347848373.31,2687036238164.0312,6397384086537.342,-5.5381058615749845,18038517661.473267,3903450578.250179,6262397070.871148,7808429277.633653,0.00026093530106385387,1.0,1.0,1.0,0.6260288021422427,1.0,-294962523.4102634
380,282.8202524942795,9980609339569.201,6237880837230.75,1717723444104.7764,984572237027.3276,3755996027058.588,2724909169888.142,6480905196946.73,-5.771262711871087,18260444421.73362,3937505537.578716,6289638448.744976,7876577896.218621,0.0002652287295039421,1.0,1.0,1.0,0.6312628441905835,1.0,-294887657.68154335
381,282.8996298113467,9980609339569.201,6237880837230.75,1744701482769.4697,1002194466267.7095,3843000027594.1562,2796955073792.819,6639955101386.975,-5.892726963139122,18683429884.12571,4007953234.7306004,6345618506.272325,8017555730.141673,0.00027427489307840975,1.0,1.0,1.0,0.6411772652090575,1.0,-294812791.9528233
382,283.04277888262993,9980609339569.201,6237880837230.75,1793824525747.6575,1036374567680.9055,4003784887526.675,2929700151625.256,6933485039151.931,-5.858669190912363,19465114150.43023,4144588955.690741,6452803341.604128,8290996541.447245,0.0002924666625488936,1.0,1.0,1.0,0.659229968589297,1.0,-294737926.2241032
383,283.244742686785,9980609339569.201,6237880837230.75,1863845717865.5684,1093341354890.6886,4238686569105.916,3122729394132.0527,7361415963237.969,-5.647020367355048,20607130561.03028,4372300215.11372,6627563793.467514,8746730839.125505,0.00032475507131405175,1.0,1.0,1.0,0.684962735433499,1.0,-294663060.49538314
384,283.48567026700124,9980609339569.201,6237880837230.75,1948283511545.2131,1172606877261.1633,4531217032590.191,3361543058729.515,7892760091319.707,-5.270137225546475,22029319570.719364,4689111735.698611,6863266137.255542,9380855018.089304,0.0003740308229915694,1.0,1.0,1.0,0.7159935989746145,1.0,-294588194.7666631
385,283.7244396253819,9980609339569.201,6237880837230.75,2032767571764.6558,1267627638789.9458,4834411413763.165,3607131735683.1123,8441543149446.277,-4.774620931256267,23503353117.7481,5068836037.185119,7135454921.574587,10141021110.319565,0.0004403285642731107,1.0,1.0,1.0,0.7470414654550587,1.0,-294513329.037943
386,283.8923412023629,9980609339569.201,6237880837230.75,2092565944020.3848,1344952102070.1436,5055580010774.097,3784991105004.1445,8840571115778.242,-4.337567006940076,24578603688.956413,5377788492.413878,7349419390.81118,10759616816.561148,0.0005006165556840786,1.0,1.0,1.0,0.7690173491036585,1.0,-294454728.61052597
387,284.04168918774604,9980609339569.201,6237880837230.75,2145975954281.093,1418937527693.8262,5257858842188.011,3946681999605.8193,9204540841793.83,-3.880185030829672,25562018296.457916,5673348916.665905,7548378721.183798,11351500221.550611,0.000564082646941571,1.0,1.0,1.0,0.7886455116586585,1.0,-294396128.1831089
388,284.17639874521615,9980609339569.201,6237880837230.75,2194297688218.792,1487597323229.7314,5444811075693.79,4095275116508.1143,9540086192201.904,-3.4173766772096226,26470919915.32483,5947584787.44261,7728349971.724381,11900778585.837852,0.0006284194950972864,1.0,1.0,1.0,0.8064037342098038,1.0,-294337527.7556919
389,284.3020429323401,9980609339569.201,6237880837230.75,2239473229998.6313,1551578544102.798,5623048581653.555,4236172922869.598,9859221504523.152,-2.9591424540466233,27337453332.293198,6203086519.183501,7892284346.508345,12412628352.822378,0.0006934136506674123,1.0,1.0,1.0,0.8230057320981509,1.0,-294278927.32827485
390,284.4466567639697,9980609339569.201,6237880837230.75,2291581530956.5093,1623237775119.0867,5832856455180.45,4401053159850.713,10233909615031.164,-2.439791703412325,28357471720.539547,6489189860.481808,8071840921.935039,12985902200.95269,0.0007723740071009335,1.0,1.0,1.0,0.8421555168795728,1.0,-294211165.3240747
391,284.59427506232106,9980609339569.201,6237880837230.75,2344871228032.707,1695899624068.0413,6052191455090.066,4572282426366.134,10624473881456.2,-1.9357917766943753,29423807932.488907,6779225374.027401,8249805425.922819,13567196992.544329,0.0008595481679656193,1.0,1.0,1.0,0.8617394643757934,1.0,-294143403.3198745
392,284.7443178224332,9980609339569.201,6237880837230.75,2399104743576.081,1771630652472.9636,6280488680585.242,4749261981928.654,11029750662513.896,-1.4491590246332926,30533715602.187733,7081427923.546002,8431157138.07742,14173045219.783712,0.0009585681866478537,1.0,1.0,1.0,0.8816702648721485,1.0,-294075641.31567436
